Date,PnL
2015-01-06,-7.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-19,-53.0
2015-01-20,-63.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-26,-87.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,-12.0
2015-01-30,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,23.0
2015-02-06,64.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-03-02,7.0
2015-03-03,18.0
2015-03-04,304.0
2015-03-05,0.0
2015-03-06,0.0
2015-03-09,-82.0
2015-03-10,0.0
2015-03-11,0.0
2015-03-12,0.0
2015-03-13,0.0
2015-03-16,255.0
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-23,0.0
2015-03-24,4.0
2015-03-25,-27.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-30,0.0
2015-03-31,60.0
2015-04-01,0.0
2015-04-02,0.0
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,-103.0
2015-04-13,827.0
2015-04-14,0.0
2015-04-15,35.0
2015-04-16,134.0
2015-04-17,-531.0
2015-04-20,424.0
2015-04-21,418.0
2015-04-22,153.0
2015-04-23,-286.0
2015-04-24,0.0
2015-04-27,106.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-04,0.0
2015-05-05,-160.0
2015-05-06,178.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-11,-18.0
2015-05-12,-576.0
2015-05-13,-47.0
2015-05-14,126.0
2015-05-15,0.0
2015-05-18,124.0
2015-05-19,0.0
2015-05-20,3.0
2015-05-21,1.0
2015-05-22,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,0.0
2015-06-01,57.0
2015-06-02,-86.0
2015-06-03,0.0
2015-06-04,0.0
2015-06-05,-43.0
2015-06-08,124.0
2015-06-09,-350.0
2015-06-10,-341.0
2015-06-11,0.0
2015-06-12,239.0
2015-06-15,-99.0
2015-06-16,211.0
2015-06-17,0.0
2015-06-18,7.0
2015-06-19,0.0
2015-06-22,0.0
2015-06-23,0.0
